id,task,owner,start,finish,duration,predecessors
1,Project kickoff and scope alignment,Member 1,2026-02-25,2026-02-27,3,
2,Requirements finalization and workflow mapping,Member 2,2026-02-26,2026-03-01,4,1
3,Data model and API contract drafting,Member 1,2026-03-02,2026-03-05,4,2
4,Frontend screen flow planning and UI baseline,Member 2,2026-03-03,2026-03-06,4,2
5,Core product/baki/customer CRUD + list workflows,Member 1,2026-03-25,2026-03-26,2,"3,4"
6,"Stock expiry, low-stock alerts, movement, reorder suggestions",Member 1,2026-03-25,2026-03-26,2,5
7,PR integration milestone #1 and #2,Member 2,2026-03-25,2026-03-26,2,5
8,Dashboard utility and hybrid session verification integration,Member 2,2026-03-26,2026-03-27,2,7
9,"Baki/customer analytics, repayment flow, filters, trust indicators",Member 1,2026-03-26,2026-03-27,2,5
10,Architecture lock and SQLite-Mongo synchronization,Member 1,2026-04-10,2026-04-10,1,"8,9"
11,Authentication and authorization hardening,Member 1,2026-04-10,2026-04-11,2,10
12,Architecture-lock milestone merge and QA checks,Member 2,2026-04-10,2026-04-10,1,10
13,Trust scoring system implementation,Member 1,2026-04-11,2026-04-12,2,11
14,"Trust score monitoring (RBAC), model training and backtesting",Member 1,2026-04-12,2026-04-13,2,13
15,Trust-score milestone merge and regression verification,Member 2,2026-04-12,2026-04-12,1,14
16,Markov queue forecasting and expected outcomes,Member 1,2026-04-21,2026-04-22,2,14
17,Forecasting milestone merge and validation,Member 2,2026-04-21,2026-04-22,2,16
18,"Voice recognition, assistant feedback, and customer-flow UX improvements",Member 1,2026-04-24,2026-04-25,2,16
19,"Final stabilization, integration checks, and reporting handoff",Member 2,2026-04-24,2026-04-25,2,"17,18"
